timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
126712000,-0.004793689,-0.009321065,-0.0013315779,4000,0,0.090549044,0.135809,-9.96534,4000,0,0,1,1
126720000,0.0013315798,0.00053263275,0.00053263456,4000,0,0.012737498,0.26389882,-9.943791,4000,0,0,1,1
126724000,0.0023968443,0.0023968464,-0.0015978961,4000,0,0.060621534,0.20643795,-9.956962,4000,0,0,1,1
126728000,0.0042610583,0.0015978958,-0.0015978991,4000,0,0.047453415,0.17890461,-9.960552,4000,0,0,1,1
126736000,0.0005326319,-0.007456853,0.0010652577,4000,0,0.12765917,0.07355974,-9.9581585,4000,0,0,1,1
126740000,1.7021827e-09,-0.006657903,0.00026631486,4000,0,0.086957745,0.1525684,-9.96534,4000,0,0,1,1
126744000,-0.0005326328,-0.007723168,0.00053263095,4000,0,0.09294326,0.1812988,-9.978508,4000,0,0,1,1
126748000,-0.0007989516,-0.009321064,0.0018642124,4000,0,0.107308455,0.16573654,-9.994071,4000,0,0,1,1
126752000,-0.0010652677,-0.008255802,0.0026631602,4000,0,0.103717156,0.16094814,-9.989282,4000,0,0,1,1
126756000,-0.0002663181,-0.008522117,0.0034621116,4000,0,0.119279474,0.16214524,-9.995269,4000,0,0,1,1
126760000,0.00026631824,-0.007723167,0.0023968464,4000,0,0.13005337,0.16453944,-10.004846,4000,0,0,1,1
126764000,-0.000798947,-0.0061252723,0.001331578,4000,0,0.11209687,0.16453944,-10.000055,4000,0,0,1,1
126768000,-0.0013315796,-0.0074568526,0.0010652639,4000,0,0.09294326,0.16214524,-10.000055,4000,0,0,1,1
126776000,-0.0018642115,-0.007989485,-0.000532634,4000,0,0.07738095,0.16573654,-10.004846,4000,0,0,1,1
126780000,-0.0018642121,-0.0066579026,-0.00079894945,4000,0,0.059424426,0.15256837,-9.994071,4000,0,0,1,1
126784000,-0.0013315803,-0.0053263223,-0.00079894817,4000,0,0.073789634,0.14897709,-9.977312,4000,0,0,1,1
126788000,-1.48941e-09,-0.0055926396,2.38474e-09,4000,0,0.10491426,0.13461187,-9.984494,4000,0,0,1,1
126792000,0.0007989479,-0.0055926396,0.00026631757,4000,0,0.10970267,0.14179447,-9.992874,4000,0,0,1,1
126796000,-0.00026631626,-0.004527375,0.00026631434,4000,0,0.10730846,0.16693364,-9.982099,4000,0,0,1,1
126800000,-0.0010652648,-0.0026631611,0.00026631475,4000,0,0.09773165,0.16693364,-9.980901,4000,0,0,1,1
126804000,-0.0007989478,-0.0034621097,-0.00026631568,4000,0,0.084563546,0.16214524,-9.976115,4000,0,0,1,1
126808000,-0.00026631705,-0.006924219,0.00026631757,4000,0,0.085760646,0.16693364,-9.962945,4000,0,0,1,1
126812000,-2.3405016e-09,-0.008255801,0.0013315812,4000,0,0.09294326,0.17172202,-9.971325,4000,0,0,1,1
126816000,0.0002663135,-0.007190536,0.0021305298,4000,0,0.10850557,0.17770751,-9.992874,4000,0,0,1,1
126820000,0.0047936887,-0.0018642095,0.001331592,4000,0,0.049847618,0.24953353,-10.016815,4000,0,0,1,1
126824000,0.009321063,0.0029294828,-0.00079893786,4000,0,0.03428531,0.27227852,-10.003648,4000,0,0,1,1
126832000,0.0013315802,-0.0061252713,-1.1714848e-08,4000,0,0.15998091,0.09989597,-9.977312,4000,0,0,1,1
126836000,-0.0007989441,-0.007456851,-0.0021305343,4000,0,0.10491426,0.16932783,-9.995269,4000,0,0,1,1
126840000,-0.0015978961,-0.005592639,-0.0018642156,4000,0,0.089351945,0.16693364,-9.996466,4000,0,0,1,1
126844000,-0.001065266,-0.0031957934,-0.00026631646,4000,0,0.07259254,0.13940024,-10.012027,4000,0,0,1,1
126848000,-0.002130529,-0.0031957938,-0.0007989497,4000,0,0.070198335,0.12862639,-10.007238,4000,0,0,1,1
126852000,-0.0023968455,-0.0053263223,-0.00079894735,4000,0,0.084563546,0.14059737,-9.984494,4000,0,0,1,1
126856000,-0.000798949,-0.0071905362,-0.00079894427,4000,0,0.102520056,0.14658289,-9.972522,4000,0,0,1,1
126860000,5.248397e-09,-0.006657904,-0.0029294759,4000,0,0.101322964,0.1573568,-9.96534,4000,0,0,1,1
126864000,0.0015978984,-0.006391589,-0.0034621062,4000,0,0.09892875,0.1753133,-9.980902,4000,0,0,1,1
126868000,0.0026631574,-0.0069242213,-0.0018642112,4000,0,0.09533746,0.17052492,-10.014422,4000,0,0,1,1
126872000,-1.5130516e-09,-0.0063915867,-0.0010652705,4000,0,0.083366446,0.16334234,-10.022801,4000,0,0,1,1
126876000,-0.001597896,-0.005858955,-0.0013315843,4000,0,0.09653455,0.17172202,-10.016815,4000,0,0,1,1
126880000,-0.0010652645,-0.0053263227,-0.0013315801,4000,0,0.100125864,0.17172202,-10.007238,4000,0,0,1,1
126884000,-0.0026631604,-0.0047936896,-0.0018642162,4000,0,0.072592534,0.16334234,-9.984494,4000,0,0,1,1
126888000,-0.0045273746,-0.0055926386,-0.0023968476,4000,0,0.06780413,0.1549626,-9.979705,4000,0,0,1,1
126892000,-0.0037284284,-0.0066579026,-0.001597894,4000,0,0.085760646,0.1537655,-9.983296,4000,0,0,1,1
126896000,-0.001597898,-0.006391588,-0.0010652604,4000,0,0.083366446,0.15855393,-9.959354,4000,0,0,1,1
126900000,-0.0010652655,-0.0053263223,-0.0005326319,4000,0,0.058227323,0.16094814,-9.946186,4000,0,0,1,1
126904000,-0.0010652638,-0.0053263223,-0.0010652648,4000,0,0.05463602,0.1573568,-9.954567,4000,0,0,1,1
126908000,0.0013315807,-0.0063915886,-0.001331576,4000,0,0.071395434,0.13461187,-9.955763,4000,0,0,1,1
126912000,0.001331579,-0.007723168,-0.00079894916,4000,0,0.07857804,0.12264085,-9.97372,4000,0,0,1,1
126916000,-0.0007989458,-0.0082558,-0.0018642189,4000,0,0.06301573,0.12982352,-9.996466,4000,0,0,1,1
126920000,-0.0005326334,-0.007723167,-0.0013315803,4000,0,0.06301573,0.1334148,-9.980902,4000,0,0,1,1
126924000,-0.00026631565,-0.006657903,-0.0013315803,4000,0,0.09533746,0.13940027,-9.96534,4000,0,0,1,1
126928000,-0.0023968413,-0.005060005,-0.0026631663,4000,0,0.11568816,0.13461187,-9.974917,4000,0,0,1,1
126932000,-0.0050600083,-0.0037284219,-0.0005326379,4000,0,0.11209687,0.13461187,-9.973721,4000,0,0,1,1
126936000,-0.0034621123,-0.0034621065,0.0015978984,4000,0,0.09892875,0.1573568,-9.977312,4000,0,0,1,1
126940000,-0.0018642115,-0.003994743,0.00053263473,4000,0,0.103717156,0.16813073,-9.997662,4000,0,0,1,1
126944000,-0.0023968422,-0.0050600073,-0.0013315807,4000,0,0.100125864,0.17172202,-9.995269,4000,0,0,1,1
126952000,-0.00026631416,-0.004793691,-0.0034621088,4000,0,0.085760646,0.1824959,-9.968931,4000,0,0,1,1
126956000,-0.00026631792,-0.002663161,-0.0007989487,4000,0,0.102520056,0.18010171,-9.970129,4000,0,0,1,1
126960000,-1.7021828e-09,-0.003728426,0.00079894875,4000,0,0.11089977,0.17052492,-9.972522,4000,0,0,1,1
126964000,2.3168603e-09,-0.007456852,-0.0002663163,4000,0,0.11329397,0.1824959,-9.991675,4000,0,0,1,1
126968000,-0.00053263106,-0.00905475,-0.0007989499,4000,0,0.10970267,0.19207269,-9.996466,4000,0,0,1,1
126972000,-0.0015978984,-0.0085221175,-0.0002663196,4000,0,0.10850557,0.16932783,-9.988085,4000,0,0,1,1
126976000,-0.001864215,-0.007723168,0.00053263095,4000,0,0.101322964,0.16334234,-9.967735,4000,0,0,1,1
126980000,-0.0015979011,-0.0063915867,0.0021305291,4000,0,0.084563546,0.16094814,-9.9581585,4000,0,0,1,1
126988000,0.0002663203,-0.008788432,0.0023968497,4000,0,0.059424434,0.16813073,-9.985692,4000,0,0,1,1
126992000,0.0018642201,-0.00612527,-0.0007989436,4000,0,0.090549044,0.183693,-9.985692,4000,0,0,1,1
126996000,0.0007989539,-0.004261057,-0.0031957948,4000,0,0.10012586,0.1848901,-10.002451,4000,0,0,1,1
127004000,-0.0015979022,-0.007989484,-0.0015978968,4000,0,0.084563546,0.183693,-9.973721,4000,0,0,1,1
127008000,-0.0015979006,-0.008522117,-0.00026631603,4000,0,0.09294326,0.1753133,-9.979705,4000,0,0,1,1
127016000,-0.0010652646,-0.00479369,-0.00026631512,4000,0,0.04984761,0.12742929,-9.976115,4000,0,0,1,1
127024000,-0.0018642176,-0.007989485,0.003195791,4000,0,0.06660703,0.17291912,-9.998858,4000,0,0,1,1
127028000,-0.00026631783,-0.0063915853,0.003195797,4000,0,0.070198335,0.17770751,-10.008435,4000,0,0,1,1
127032000,0.0026631614,-0.003994739,0.001864219,4000,0,0.06780413,0.16094814,-9.988085,4000,0,0,1,1
127040000,0.0005326332,-0.0018642122,-0.0007989497,4000,0,0.09653455,0.15855393,-9.984494,4000,0,0,1,1
127048000,-0.0002663172,-0.005060006,-0.000266317,4000,0,0.101322964,0.1872843,-9.960552,4000,0,0,1,1
127052000,-0.0018642126,-0.0053263223,-0.00053263514,4000,0,0.103717156,0.17890461,-9.966538,4000,0,0,1,1
127056000,-0.0018642136,-0.0058589554,-0.00026631594,4000,0,0.08935194,0.1537655,-9.982099,4000,0,0,1,1
127064000,-0.0015978994,-0.007989485,0.0015978938,4000,0,0.09414036,0.1549626,-10.004846,4000,0,0,1,1
127068000,-0.0037284286,-0.007723168,0.002663155,4000,0,0.085760646,0.13580897,-10.001252,4000,0,0,1,1
127072000,-0.0023968457,-0.0061252704,0.0023968467,4000,0,0.090549044,0.12982349,-9.983296,4000,0,0,1,1
127080000,0.00079894724,-0.0029294775,0.001331582,4000,0,0.07498674,0.16094814,-9.977312,4000,0,0,1,1
127084000,0.00026631446,-0.0026631618,0.0029294773,4000,0,0.09174616,0.15855393,-9.976115,4000,0,0,1,1
127088000,-0.00026631344,-0.0037284265,0.001065264,4000,0,0.103717156,0.15975104,-10.004846,4000,0,0,1,1
127092000,2.3641427e-09,-0.00479369,-0.000532632,4000,0,0.086957745,0.1573568,-10.018012,4000,0,0,1,1
127096000,-0.0002663152,-0.004527375,-0.0010652653,4000,0,0.06301573,0.15256837,-9.989282,4000,0,0,1,1
127100000,-0.00053263153,-0.0058589554,-0.0018642134,4000,0,0.07019833,0.14299159,-9.9904785,4000,0,0,1,1
127104000,-0.0010652643,-0.0069242185,-0.0023968464,4000,0,0.101322964,0.16693364,-10.002451,4000,0,0,1,1
127108000,-0.0010652632,-0.0037284258,-0.0018642143,4000,0,0.11089977,0.20045246,-9.968931,4000,0,0,1,1
127112000,0.0045273774,0.0034621067,-0.00026631166,4000,0,0.05224183,0.24953353,-9.961748,4000,0,0,1,1
127120000,0.004261058,1.6641962e-09,-0.00053264137,4000,0,0.1683606,0.10707857,-9.985692,4000,0,0,1,1
127124000,-0.00079894916,-0.0037284258,-5.3607536e-09,4000,0,0.18990843,0.09391042,-9.979705,4000,0,0,1,1
127128000,-0.00053263357,-0.0037284258,0.0010652649,4000,0,0.12406788,0.16214524,-9.988085,4000,0,0,1,1
127136000,0.0031957978,-0.007723166,-0.0007989438,4000,0,0.090549044,0.14299159,-9.974917,4000,0,0,1,1
127144000,0.0031957936,-0.004527375,-0.0007989494,4000,0,0.11329397,0.13940027,-9.982099,4000,0,0,1,1
127148000,0.00053263234,-0.0029294773,-0.00053263473,4000,0,0.12167367,0.14538579,-9.982099,4000,0,0,1,1
127152000,0.0005326317,-0.0031957938,-1.0306e-10,4000,0,0.13484178,0.1513713,-9.979705,4000,0,0,1,1
127160000,1.8913159e-10,-0.004527375,0.0007989475,4000,0,0.09773165,0.13940027,-9.970129,4000,0,0,1,1
127164000,-0.0005326305,-0.0021305296,-0.00079894933,4000,0,0.073789634,0.12623219,-9.980902,4000,0,0,1,1
127168000,-0.0018642127,-0.0029294775,-0.0015978977,4000,0,0.053438917,0.14179447,-9.994071,4000,0,0,1,1
127172000,-0.0031957962,-0.0061252704,-0.0010652641,4000,0,0.07857804,0.16573654,-9.997662,4000,0,0,1,1
127176000,-0.0023968494,-0.0066579008,0.0007989505,4000,0,0.119279474,0.17172202,-10.000054,4000,0,0,1,1
127180000,-0.00053264096,-0.0029294745,0.00426106,4000,0,0.12406788,0.15855393,-9.988085,4000,0,0,1,1
127184000,-3.0497438e-09,-0.00133158,0.0050600064,4000,0,0.11329397,0.17172202,-9.971324,4000,0,0,1,1
127192000,2.9078957e-09,-0.00479369,-0.0007989489,4000,0,0.10970267,0.16813073,-9.991675,4000,0,0,1,1
127196000,-0.00026631987,-0.0058589554,0.0013315802,4000,0,0.13244757,0.14897709,-9.998858,4000,0,0,1,1
127200000,0.0005326286,-0.005858955,0.0031957955,4000,0,0.12406788,0.16693364,-9.998858,4000,0,0,1,1
127204000,3.64078e-09,-0.005858956,0.0013315796,4000,0,0.09533746,0.17411622,-9.983296,4000,0,0,1,1
127208000,-0.0023968418,-0.004793691,-0.00053263706,4000,0,0.09294326,0.15017422,-9.980901,4000,0,0,1,1
127216000,-0.0015978971,-0.006391588,-0.0005326281,4000,0,0.090549044,0.1346119,-9.979705,4000,0,0,1,1
127220000,0.0002663122,-0.006125271,0.0013315845,4000,0,0.10012586,0.14418869,-9.9581585,4000,0,0,1,1
127224000,-4.7519277e-09,-0.003994743,0.0031957934,4000,0,0.10970267,0.16813073,-9.936609,4000,0,0,1,1
127228000,-0.00053263333,-0.0013315812,0.0018642123,4000,0,0.09054904,0.1848901,-9.943791,4000,0,0,1,1
127232000,-0.00053263083,-0.0018642135,-0.0005326323,4000,0,0.07498674,0.17172202,-9.961747,4000,0,0,1,1
127236000,-0.0018642127,-0.004527375,-0.0018642135,4000,0,0.09054906,0.16573654,-9.967735,4000,0,0,1,1
127240000,-0.0015978994,-0.0050600055,-0.00053263165,4000,0,0.10730846,0.18010171,-9.979705,4000,0,0,1,1
127244000,-0.00026631757,-0.0053263223,0.00026631847,4000,0,0.11089977,0.1753133,-9.995269,4000,0,0,1,1
127248000,0.00026631996,-0.0053263223,-0.0018642122,4000,0,0.11089977,0.1537655,-10.014422,4000,0,0,1,1
127252000,-0.00053263083,-0.0045273746,-0.0023968467,4000,0,0.10730846,0.14299159,-10.021604,4000,0,0,1,1
127256000,-0.0005326343,-0.003994742,-0.00079894863,4000,0,0.118082374,0.14179447,-10.0060425,4000,0,0,1,1
127260000,0.0010652648,-0.00346211,-0.0007989465,4000,0,0.12885627,0.12503508,-9.984494,4000,0,0,1,1
127264000,0.0010652646,-0.0039947424,-0.0007989487,4000,0,0.12047657,0.10827567,-9.970129,4000,0,0,1,1
127268000,0.0013315794,-0.0050600064,-1.11955244e-10,4000,0,0.107308455,0.1334148,-9.977312,4000,0,0,1,1
127272000,0.0015978963,-0.00479369,0.0002663166,4000,0,0.086957745,0.16094814,-9.985692,4000,0,0,1,1
127280000,-0.00079894694,-0.004261059,-2.4857951e-09,4000,0,0.07378964,0.15256837,-10.014422,4000,0,0,1,1
127284000,-0.0026631607,-0.0039947424,-0.00053263514,4000,0,0.05583312,0.1549626,-10.033576,4000,0,0,1,1
127288000,-0.0018642165,-0.0061252695,0.0018642158,4000,0,0.06301573,0.17172202,-9.992873,4000,0,0,1,1
127296000,-0.00053263525,-0.005060006,0.0034621092,4000,0,0.06421282,0.15017422,-10.012027,4000,0,0,1,1
127300000,-0.0018642168,-0.0037284275,0.0047936877,4000,0,0.08097224,0.14059737,-10.008435,4000,0,0,1,1
127304000,-0.00292948,-0.001864215,0.0042610564,4000,0,0.09294326,0.1549626,-9.984494,4000,0,0,1,1
127308000,-0.0015978967,-0.001597896,0.0031957943,4000,0,0.09653455,0.15017422,-9.988085,4000,0,0,1,1
127312000,0.0005326349,-0.0026631607,0.0005326339,4000,0,0.107308455,0.1573568,-10.003648,4000,0,0,1,1
127316000,0.0023968471,-0.0037284254,-0.0013315794,4000,0,0.11089977,0.18010171,-10.001252,4000,0,0,1,1
127320000,0.0029294759,-0.0055926405,-0.0005326332,4000,0,0.09414036,0.1765104,-9.983296,4000,0,0,1,1
127324000,0.0021305275,-0.0071905362,0.00026631297,4000,0,0.08097224,0.17890461,-9.968931,4000,0,0,1,1
127328000,0.0005326316,-0.006391588,0.0005326289,4000,0,0.083366446,0.19326986,-9.96534,4000,0,0,1,1
127332000,-0.0010652659,-0.0053263227,0.0010652612,4000,0,0.089351945,0.17291912,-9.976115,4000,0,0,1,1
127336000,-0.0018642143,-0.0055926396,0.0018642115,4000,0,0.103717156,0.1561597,-9.983297,4000,0,0,1,1
127340000,-0.00079895055,-0.0053263213,0.0029294796,4000,0,0.107308455,0.1765104,-9.977312,4000,0,0,1,1
127344000,0.0007989458,-0.005060004,0.0042610615,4000,0,0.09533746,0.19087562,-9.988085,4000,0,0,1,1
127348000,0.0005326365,-0.0061252713,0.0026631607,4000,0,0.102520056,0.16693364,-9.998858,4000,0,0,1,1
127352000,7.612539e-09,-0.0061252713,-0.0010652657,4000,0,0.12047657,0.135809,-9.986889,4000,0,0,1,1
127356000,4.5391544e-09,-0.0055926396,-0.0031957938,4000,0,0.12646209,0.14299162,-9.985692,4000,0,0,1,1
127360000,-0.0010652656,-0.0061252704,-0.0029294798,4000,0,0.118082374,0.1537655,-9.983296,4000,0,0,1,1
127364000,-0.0023968488,-0.0050600036,-0.00079895166,4000,0,0.12526499,0.13341478,-9.978508,4000,0,0,1,1
127368000,-0.0010652647,-0.003195794,-0.0005326316,4000,0,0.1432215,0.12503508,-9.986889,4000,0,0,1,1
127376000,0.0005326304,-0.004527375,-0.0010652655,4000,0,0.09773165,0.16334234,-9.955763,4000,0,0,1,1
127380000,0.0005326298,-0.007190536,-5.9832705e-10,4000,0,0.09653455,0.16932783,-9.979705,4000,0,0,1,1
127384000,0.001864213,-0.005592639,3.37768e-09,4000,0,0.09294326,0.17172202,-9.982099,4000,0,0,1,1
127388000,0.0013315821,-0.003994742,-0.0007989485,4000,0,0.09892875,0.16932783,-9.960552,4000,0,0,1,1
127396000,-0.00079895003,-0.0061252713,-0.00079894747,4000,0,0.09533746,0.13461187,-10.020406,4000,0,0,1,1
127400000,0.0021305284,-0.0050600064,-0.00026631053,4000,0,0.072592534,0.11426115,-10.0060425,4000,0,0,1,1
127404000,0.0021305308,-0.0042610583,-0.0010652642,4000,0,0.05463602,0.11545825,-9.979705,4000,0,0,1,1
127408000,0.0005326331,-0.002929477,-0.001331582,4000,0,0.06780413,0.12982349,-9.982099,4000,0,0,1,1
127412000,-0.00079894986,-0.0042610583,-0.00053263386,4000,0,0.07618384,0.1346119,-9.989282,4000,0,0,1,1
127416000,-0.001331581,-0.006657903,-0.0005326326,4000,0,0.05463602,0.14299159,-10.000055,4000,0,0,1,1
127420000,0.00026631908,-0.006657904,-0.0018642095,4000,0,0.04505922,0.16573654,-9.992874,4000,0,0,1,1
127424000,0.0010652659,-0.0045273756,-0.0018642112,4000,0,0.07019833,0.1848901,-9.978508,4000,0,0,1,1
127432000,-0.00026631702,-0.0021305294,0.0013315803,4000,0,0.09414036,0.14658289,-9.962945,4000,0,0,1,1
127436000,7.8016704e-10,-0.0034621095,0.0010652649,4000,0,0.102520056,0.13461187,-9.960552,4000,0,0,1,1
127440000,0.00053263264,-0.0042610588,0.0010652652,4000,0,0.10970267,0.16932783,-9.977312,4000,0,0,1,1
127444000,0.00079895055,-0.006125271,-5.962321e-11,4000,0,0.11329397,0.17770751,-9.972522,4000,0,0,1,1
127448000,-0.00079894566,-0.0085221175,-0.0013315848,4000,0,0.10970267,0.1561597,-9.971325,4000,0,0,1,1
127456000,0.009054749,0.005592637,0.000798962,4000,0,-0.008810341,0.23636548,-9.988085,4000,0,0,1,1
127464000,3.5225727e-09,-0.0029294817,0.0023968401,4000,0,0.17554322,0.065180026,-9.967735,4000,0,0,1,1
127468000,-0.0002663145,-0.0026631614,0.000532632,4000,0,0.11568816,0.13461187,-9.942595,4000,0,0,1,1
127476000,0.00026631492,-0.007723168,-0.00053263275,4000,0,0.101322964,0.15137127,-9.962945,4000,0,0,1,1
127480000,-0.00026631705,-0.00905475,-0.00026631777,4000,0,0.12167367,0.14418869,-9.979705,4000,0,0,1,1
127488000,-0.0023968425,-0.005858956,-0.0007989524,4000,0,0.090549044,0.16214524,-9.96534,4000,0,0,1,1
127492000,-0.0026631586,-0.004793691,-0.0021305308,4000,0,0.09174616,0.1549626,-9.966538,4000,0,0,1,1
127496000,-0.0013315806,-0.0042610597,-0.0018642114,4000,0,0.10491426,0.14897709,-9.977312,4000,0,0,1,1
