timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
127316000,0,37.413534,-121.99656089999999,1.311,1.311,1751846714639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,4.531224,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
128512000,0,37.4135339,-121.99656089999999,1.317,1.317,1751846715843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3353513,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
129312000,0,37.4135339,-121.996561,1.311,1.311,1751846716639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.09073,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
130512000,0,37.4135339,-121.996561,1.312,1.312,1751846717843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.6578882,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
131312000,0,37.4135339,-121.996561,1.313,1.313,1751846718639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,5.830796,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
132512000,0,37.4135339,-121.996561,1.308,1.308,1751846719843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.1111503,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
133512000,0,37.413534,-121.996561,1.315,1.315,1751846720843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.02,0.02,5.3419294,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
134312000,0,37.4135339,-121.996561,1.318,1.318,1751846721639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.7159069,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
135512000,0,37.4135339,-121.99656089999999,1.321,1.321,1751846722843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.049999997,0.10175269,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
136512000,0,37.413534,-121.99656089999999,1.303,1.303,1751846723843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,0.0,0.46303582,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
137312000,0,37.4135339,-121.99656089999999,1.309,1.309,1751846724639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.514523,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
138512000,0,37.4135339,-121.99656089999999,1.312,1.312,1751846725843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8731882,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
139312000,0,37.413534,-121.99656089999999,1.315,1.315,1751846726639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.8658037,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
140512000,0,37.4135339,-121.996561,1.323,1.323,1751846727843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.15358898,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
141312000,0,37.413534,-121.996561,1.32,1.32,1751846728639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.03,3.7910295,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
142312000,0,37.4135339,-121.996561,1.309,1.309,1751846729639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.18116517,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
143312000,0,37.4135339,-121.996561,1.311,1.311,1751846730639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.043257,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
144512000,0,37.413534,-121.996561,1.314,1.314,1751846731843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.4932764,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
145312000,0,37.4135339,-121.99656089999999,1.311,1.311,1751846732639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.5007815,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
146512000,0,37.413534,-121.996561,1.323,1.323,1751846733843749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.1344366,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
147312000,0,37.4135339,-121.99656089999999,1.317,1.317,1751846734639749,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,1.5283848,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
